timestamp,symbol,price,size
2026-09-14 14:18:30.479174+00:00,SPY,760.01,40.0
2026-09-14 14:18:30.479195+00:00,SPY,760.01,40.0
2026-09-14 14:18:30.479195+00:00,SPY,760.01,80.0
2026-09-14 14:18:30.479198+00:00,SPY,760.01,40.0
2026-09-14 14:18:30.479231+00:00,SPY,760.01,40.0
2026-09-14 14:18:30.479246+00:00,SPY,760.01,40.0
2026-09-14 14:18:33.492180+00:00,SPY,759.99,40.0
2026-09-14 14:18:33.499551+00:00,SPY,759.985,1.0
2026-09-14 14:18:33.761825+00:00,SPY,759.975,40.0
2026-09-14 14:18:35.139168+00:00,SPY,759.98,160.0
2026-09-14 14:18:35.139171+00:00,SPY,759.98,40.0
2026-09-14 14:18:35.139171+00:00,SPY,759.98,40.0
2026-09-14 14:18:35.631371+00:00,SPY,759.97,1.0
2026-09-14 14:18:37.718403+00:00,SPY,759.96,80.0
2026-09-14 14:18:37.719264+00:00,SPY,759.965,100.0
2026-09-14 14:18:37.719267+00:00,SPY,759.965,20.0
2026-09-14 14:18:37.719267+00:00,SPY,759.965,18.0
2026-09-14 14:18:37.839406+00:00,SPY,759.94,40.0
2026-09-14 14:18:38.680801+00:00,SPY,759.93,40.0
2026-09-14 14:18:38.680819+00:00,SPY,759.93,40.0
2026-09-14 14:18:38.680819+00:00,SPY,759.93,40.0
2026-09-14 14:18:41.345374+00:00,SPY,759.91,7.0
2026-09-14 14:18:43.135046+00:00,SPY,759.92,15.0
2026-09-14 14:18:43.135046+00:00,SPY,759.92,41.0
2026-09-14 14:18:43.135727+00:00,SPY,759.92,40.0
2026-09-14 14:18:43.164057+00:00,SPY,759.92,40.0
2026-09-14 14:18:45.783808+00:00,SPY,759.91,1.0
2026-09-14 14:18:46.141347+00:00,SPY,759.91,2.0
2026-09-14 14:18:46.267865+00:00,SPY,759.91,1.0
2026-09-14 14:18:46.576807+00:00,SPY,759.91,2.0
2026-09-14 14:18:48.099364+00:00,SPY,759.855,30.0
2026-09-14 14:18:48.597104+00:00,SPY,759.86,1.0
2026-09-14 14:18:48.629353+00:00,SPY,759.86,1.0
2026-09-14 14:18:49.253331+00:00,SPY,759.85,1.0
2026-09-14 14:18:49.253352+00:00,SPY,759.85,40.0
2026-09-14 14:18:49.253352+00:00,SPY,759.85,32.0
2026-09-14 14:18:49.253996+00:00,SPY,759.85,8.0
2026-09-14 14:18:49.253999+00:00,SPY,759.85,32.0
2026-09-14 14:18:49.933937+00:00,SPY,759.865,1.0
2026-09-14 14:18:51.439747+00:00,SPY,759.855,1.0
2026-09-14 14:18:51.522653+00:00,SPY,759.855,6.0
2026-09-14 14:18:51.522655+00:00,SPY,759.855,40.0
2026-09-14 14:18:51.522658+00:00,SPY,759.855,9.0
2026-09-14 14:18:51.546821+00:00,SPY,759.85,40.0
2026-09-14 14:18:51.591917+00:00,SPY,759.855,3.0
2026-09-14 14:18:52.018494+00:00,SPY,759.865,33.0
2026-09-14 14:18:52.690876+00:00,SPY,759.85,75.0
2026-09-14 14:18:52.690879+00:00,SPY,759.85,25.0
2026-09-14 14:18:52.701476+00:00,SPY,759.85,15.0
2026-09-14 14:18:52.701479+00:00,SPY,759.85,85.0
2026-09-14 14:18:52.961363+00:00,SPY,759.855,40.0
2026-09-14 14:18:54.329513+00:00,SPY,759.84,40.0
2026-09-14 14:18:54.559000+00:00,SPY,759.85,100.0
2026-09-14 14:18:54.669776+00:00,SPY,759.85,100.0
2026-09-14 14:18:54.683320+00:00,SPY,759.85,100.0
2026-09-14 14:18:55.385768+00:00,SPY,759.815,80.0
2026-09-14 14:18:55.385771+00:00,SPY,759.815,20.0
2026-09-14 14:18:55.464493+00:00,SPY,759.83,127.0
2026-09-14 14:18:55.464493+00:00,SPY,759.83,65.0
2026-09-14 14:18:55.464520+00:00,SPY,759.83,48.0
2026-09-14 14:18:55.803441+00:00,SPY,759.85,80.0
2026-09-14 14:18:55.807603+00:00,SPY,759.85,40.0
2026-09-14 14:18:56.042843+00:00,SPY,759.85,109.0
2026-09-14 14:18:56.043444+00:00,SPY,759.85,40.0
2026-09-14 14:18:56.045642+00:00,SPY,759.85,106.0
2026-09-14 14:18:56.046196+00:00,SPY,759.85,40.0
2026-09-14 14:18:57.461282+00:00,SPY,759.855,40.0
2026-09-14 14:18:59.027605+00:00,SPY,759.86,100.0
2026-09-14 14:18:59.036365+00:00,SPY,759.86,100.0
2026-09-14 14:18:59.041898+00:00,SPY,759.86,100.0
2026-09-14 14:18:59.048526+00:00,SPY,759.86,100.0
2026-09-14 14:18:59.875633+00:00,SPY,759.85,1.0
2026-09-14 14:19:02.911413+00:00,SPY,759.83,40.0
2026-09-14 14:19:06.263846+00:00,SPY,759.795,22.0
2026-09-14 14:19:06.761928+00:00,SPY,759.8,40.0
2026-09-14 14:19:08.041345+00:00,SPY,759.78,320.0
2026-09-14 14:19:08.869277+00:00,SPY,759.805,100.0
2026-09-14 14:19:08.899054+00:00,SPY,759.805,200.0
2026-09-14 14:19:08.907904+00:00,SPY,759.805,200.0
2026-09-14 14:19:08.919027+00:00,SPY,759.805,200.0
2026-09-14 14:19:08.929071+00:00,SPY,759.805,100.0
2026-09-14 14:19:08.939067+00:00,SPY,759.805,100.0
2026-09-14 14:19:09.053151+00:00,SPY,759.805,200.0
2026-09-14 14:19:09.059048+00:00,SPY,759.805,100.0
2026-09-14 14:19:09.248055+00:00,SPY,759.805,100.0
2026-09-14 14:19:09.607885+00:00,SPY,759.815,40.0
2026-09-14 14:19:09.662024+00:00,SPY,759.815,40.0
2026-09-14 14:19:11.961991+00:00,SPY,759.845,80.0
2026-09-14 14:19:15.861806+00:00,SPY,759.83,40.0
2026-09-14 14:19:18.457794+00:00,SPY,759.83,1.0
2026-09-14 14:19:20.658203+00:00,SPY,759.815,4.0
2026-09-14 14:19:20.899322+00:00,SPY,759.81,19.0
2026-09-14 14:19:20.900311+00:00,SPY,759.81,3.0
2026-09-14 14:19:20.906804+00:00,SPY,759.81,6.0
2026-09-14 14:19:20.921993+00:00,SPY,759.82,6.0
2026-09-14 14:19:22.145825+00:00,SPY,759.85,5.0
2026-09-14 14:19:23.268030+00:00,SPY,759.87,40.0
2026-09-14 14:19:28.780308+00:00,SPY,759.89,65.0
2026-09-14 14:19:37.578048+00:00,SPY,759.86,80.0
2026-09-14 14:19:41.105929+00:00,SPY,759.85,39.0
2026-09-14 14:19:42.591386+00:00,SPY,759.84,1.0
2026-09-14 14:19:45.727921+00:00,SPY,759.79,80.0
2026-09-14 14:19:45.727942+00:00,SPY,759.79,65.0
2026-09-14 14:19:50.376762+00:00,SPY,759.785,100.0
2026-09-14 14:19:50.377342+00:00,SPY,759.785,100.0
2026-09-14 14:19:50.390186+00:00,SPY,759.785,100.0
2026-09-14 14:19:50.411501+00:00,SPY,759.785,100.0
2026-09-14 14:19:51.050076+00:00,SPY,759.785,100.0
2026-09-14 14:19:51.050680+00:00,SPY,759.785,100.0
2026-09-14 14:20:00.606131+00:00,SPY,759.845,40.0
2026-09-14 14:20:02.511322+00:00,SPY,759.78,80.0
2026-09-14 14:20:05.886771+00:00,SPY,759.74,40.0
2026-09-14 14:20:05.886774+00:00,SPY,759.74,20.0
